code,iso,Rank,country,region,total,CDI-Rank,CDI,A-Rank,A,B-Rnk,B,C-Rank,C,D-Rank,D,E-Rank,E,F-Rank,F,G-Rank,G
32,ARG,45,Argentina,Latin America and The Caribbean,49.58,46,49.38,42,43.53,6,56.11,39,37.93,38,59.75,45,59.21,69,38.43,94,50.79
191,HRV,46,Croatia,Europe and Central Asia,48.9,42,50.86,62,40.94,111,48.09,59,31.07,25,62.5,49,58.24,35,50.1,61,53.53
484,MEX,47,Mexico,Latin America and The Caribbean,48.71,45,49.58,71,40,44,53.17,58,31.15,14,66.26,56,56.56,61,41.96,76,52.3
792,TUR,48,Turkey,Europe and Central Asia,48,52,47.89,63,40.8,12,55.22,66,30.13,43,58.91,60,55.83,48,43.67,85,51.6
360,IDN,49,Indonesia,East Asia and Pacific,47.99,55,47.59,45,43.15,31,54.22,76,28.19,33,60.18,74,53.29,37,48.79,108,48.76
642,ROU,50,Romania,Europe and Central Asia,47.93,50,48.47,56,41.54,68,51.64,54,31.53,54,57.68,63,55.39,60,42.12,48,56.45
112,BLR,51,Belarus,Europe and Central Asia,47.65,49,48.74,61,41.05,100,49.25,94,25.33,59,57.35,43,59.79,28,53.36,101,49.47
784,ARE,52,United Arab Emirates,Middle East and North Africa,47.56,61,45.78,28,46.55,8,56,99,24.61,49,58.03,17,65.57,73,37.85,139,42.11
710,ZAF,53,South Africa,Sub-Saharan Arica,47.45,48,48.79,85,38.49,87,50.16,47,33.03,6,68.01,67,54.59,104,30.69,45,57.19
858,URY,54,Uruguay,Latin America and The Caribbean,47.35,57,46.32,26,46.96,59,52.11,110,22.73,61,56.94,44,59.59,62,41.09,78,52.13
192,CUB,55,Cuba,Latin America and The Caribbean,47.29,51,48.18,79,39.13,71,51.19,37,39.03,92,52.05,46,59.18,51,43.09,122,46.94
