code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
710,ZAF,South Africa,Sub-Saharan Arica,47.45,69.51,59.65,59.74,25.77,51.03,63.02,88.42,56.78,64.91,45.1,64.24,46.79,31.24,46.19,35.64,56.06,65.22,27.24,50.16
716,ZWE,Zimbabwe,Sub-Saharan Arica,39.03,41.61,70.08,79.35,23.45,45.86,86.91,90.76,51.98,27.09,12.69,66.32,53.12,11.71,27.46,40.66,57.35,49.76,25.18,45.42
72,BWA,Botswana,Sub-Saharan Arica,42.32,66.47,58.21,67.89,42.02,57.91,66.18,84.94,53.46,17.86,12.24,47.14,67.65,29.11,41.54,47.84,60.25,46.55,26.96,46.15
724,ESP,Spain,Europe and Central Asia,60.33,98.63,78.24,53.24,71.3,65.1,10.64,86.07,56.71,55.64,36.35,67.59,62.3,35.26,78.51,35.52,66.46,60.57,31.39,54.17
729,SDN,Sudan,Sub-Saharan Arica,38.68,48.68,79.23,91.75,40.65,34.72,68.51,86.82,49.03,32.89,29.35,59.44,69.15,34.72,36.61,34.2,60.54,53.13,30.8,49.4
748,SWZ,Eswatini,Sub-Saharan Arica,40.3,50.06,62.11,51.82,27.09,51.88,56.87,81.47,54.87,22.88,6.32,50.25,64.68,17.52,37.19,31.2,50.8,45.12,24.95,41.34
752,SWE,Sweden,Europe and Central Asia,64.74,99.42,83.77,55.19,72.84,70.38,14.66,84.23,59.93,75.88,12.74,63.04,60.09,39.74,83.68,34.92,69.66,58.12,30.89,54.57
756,CHE,Switzerland,Europe and Central Asia,64.51,98.37,87.04,61.37,74,58.67,20.26,75.81,55.16,58.54,8.96,60.33,68.66,35.3,83.48,41.66,69.9,50.26,31.01,52.34
76,BRA,Brazil,Latin America and The Caribbean,54.56,81.07,76.28,73.31,46.97,46.03,44.11,93.98,56.69,59.85,52.78,72.26,63.18,43.07,46.43,32.06,63.38,68.1,33.95,55.97
762,TJK,Tajikistan,Europe and Central Asia,40.9,72.03,87.22,87.6,59.8,49.16,67.41,90.63,40.39,41.35,5.38,48.95,74.76,25.35,26.53,35.68,71.22,47.43,27.89,51.08
764,THA,Thailand,East Asia and Pacific,50.61,87.03,74.69,68.12,51.28,57.48,53.92,85.11,61.75,50.88,45.53,60.81,56.76,35.52,47.19,27.98,67.33,63.07,29.06,54.57
768,TGO,Togo,Sub-Saharan Arica,37.73,39.75,66.05,87.57,40.48,28.25,84.26,93.76,37.52,8.78,17.62,37.64,72.42,14.26,30.28,34.86,56.36,45.26,23.1,43.05
780,TTO,Trinidad and Tobago,Latin America and The Caribbean,40.27,82.35,94.14,61.83,66.54,50.15,33.59,54.06,55.23,51.97,23.95,51.83,58.46,34.01,56.58,46.99,67.29,46.12,27.23,48.92
